Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,649.53
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Hire,CSI Leasing UK,25/09/2014,838.61
Customer Services,ICT,CBAL,Supplies & Services,Equipment - Purchase,CSI Leasing UK,25/09/2014,545.79
Customer Services,ICT,CBAL,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,17/09/2014,458.75
Customer Services,ICT,CBAL,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,17/09/2014,229.38
Customer Services,ICT,CBAL,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,04/09/2014,220.2
Customer Services,ICT,CBAL,Supplies & Services,Photocopying,SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,18152.11
Customer Services,ICT,WCAG,Capital Expenditure,Other Capital Expenditure,Bronze Software Labs Ltd,10/09/2014,750
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,OPTEVIA,19/09/2014,1150
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,02/09/2014,13650
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,24/09/2014,13650
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,24/09/2014,"1,503.00"
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,10/09/2014,501
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,431
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,436.71
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,422.81
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,515.88
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,369.39
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,409.48
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,276.67
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,146.72
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,666.36
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,276.68
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,446.07
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,422.58
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,270.1
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,337.89
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,424.53
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,416.85
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,290.26
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,464.8
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,412.72
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,15/09/2014,152.07
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,23/09/2014,401.54
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,321.17
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,181.84
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,235.83
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,256.77
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,164.04
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,336.62
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,170.9
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,424.4
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,312.78
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,08/09/2014,365.32
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,British Pathe,23/09/2014,840
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,24/09/2014,159.82
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,08/09/2014,249.76
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,08/09/2014,279.28
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,OAKHILL PUBLISHING LTD,08/09/2014,373.6
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,PROQUEST INFORMATION AND LEARNING LTD,15/09/2014,3965
Customer Services,Library Services,LLAA,Supplies & Services,Subscriptions,STAFFORDSHIRE COUNTY COUNCIL,09/09/2014,144.86
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/09/2014,118.32
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/09/2014,234.8
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/09/2014,254.4
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,23/09/2014,214.08
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,24/09/2014,111.68
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,23/09/2014,399.2
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,23/09/2014,187.2
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,08/09/2014,384.8
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,W F HOWES LTD,08/09/2014,187.2
Customer Services,Library Services,LLAF,Supplies & Services,Comp Software (Purch / Hire),Round Software Ltd,09/09/2014,200
Customer Services,Library Services,LLAG,Supplies & Services,Other Expenses,WEST MIDLANDS READERS NETWORK,18/09/2014,295
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,LION FPG LIMITED,17/09/2014,336.99
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,LION FPG LIMITED,26/09/2014,623
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,LION FPG LIMITED,29/09/2014,292
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,LION FPG LIMITED,29/09/2014,2922
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,MARKETING AT THE MILL,16/09/2014,286
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Other,MARKETING AT THE MILL,19/09/2014,400
Customer Services,Revenues,CBAK,Supplies & Services,Packaging and Machine costs,NEOPOST LIMITED 47639288,02/09/2014,165.98
Customer Services,Revenues,CBAK,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,17/09/2014,183.5
Customer Services,Revenues,CBAK,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,04/09/2014,181.41
Customer Services,Revenues,CBAK,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,29/09/2014,398
Customer Services,Revenues,CBAK,Supplies & Services,Printing - Print Room,XEROX FINANCE,10/09/2014,14096.47
Customer Services,Revenues,COAB,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,05/09/2014,300
Customer Services,Revenues,COAB,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,05/09/2014,300
Customer Services,Revenues,COAC,Supplies & Services,Postages,FRANCOTYP-POSTALIA LTD (POSTAGE),25/09/2014,3012
Customer Services,Revenues,COAC,Supplies & Services,Postages,FRANCOTYP-POSTALIA LTD (POSTAGE),10/09/2014,3012
Customer Services,Revenues,LRTA,Supplies & Services,Postages,G FORCE EXPRESS PARCELS LTD,05/09/2014,422.28
Customer Services,Revenues,LRTA,Supplies & Services,Scanning Costs,NORTHGATE INFORMATION SOLUTIONS UK LTD,03/09/2014,15000
Customer Services,Revenues,LRTA,Supplies & Services,Postages,POST OFFICE LTD,17/09/2014,2997.47
Customer Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,11/09/2014,3028.09
Customer Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,02/09/2014,3819.44
Customer Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,16/09/2014,-2021.21
Customer Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,16/09/2014,3437.94
Customer Services,Revenues,LRTA,Supplies & Services,Postages,ROYAL MAIL GROUP LTD,26/09/2014,2959.03
Customer Services,Revenues,LRTB,Employees,Staff Training,IRRV,25/09/2014,175
Customer Services,Revenues,LRTB,Employees,Staff Training,ROSSENDALES LTD,15/09/2014,158.49
Customer Services,Revenues,LRTB,Supplies & Services,Comp Software (Purch / Hire),MAG:NET Solutions Ltd,18/09/2014,1000
Customer Services,Revenues,LRTB,Third Party Payments,Private Contractors,ROSSENDALES LTD,18/09/2014,221.5
"Development, Business & Employment","AD - Development, Business & Housing",WCAN,Capital Expenditure,Payments to Contractor,MERIDIAN COST BENEFIT LTD,01/09/2014,444.49
"Development, Business & Employment","AD - Development, Business & Housing",WCAR,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,09/09/2014,"2,969.53"
"Development, Business & Employment",Business & Development Planning,AEAB,Supplies & Services,Marketing & Publicity,Headz Up Business,19/09/2014,196
"Development, Business & Employment",Business & Development Planning,AEAB,Supplies & Services,Research Surveys,IDOX SOFTWARE LTD,19/09/2014,4190.56
"Development, Business & Employment",Business & Development Planning,AEAD,Supplies & Services,Marketing & Publicity,Buildwas Leisure Limited,19/09/2014,200
"Development, Business & Employment",Business & Development Planning,AEAD,Supplies & Services,Advertising,High Viz Publicity Ltd,19/09/2014,675
"Development, Business & Employment",Business & Development Planning,AEAG,Supplies & Services,Marketing & Publicity,7VIDEO LTD,19/09/2014,600
"Development, Business & Employment",Business & Development Planning,AEAX,Supplies & Services,Other Grants (Expenses),Good2Great Ltd,19/09/2014,4550
"Development, Business & Employment",Business & Development Planning,AEAX,Supplies & Services,Other Grants (Expenses),STORMFRONT RETAIL LTD,19/09/2014,1641.52
"Development, Business & Employment",Business & Development Planning,DHBB,Supplies & Services,Other Grants (Expenses),Carillion Energy Services Ltd,18/09/2014,46200
"Development, Business & Employment",Business & Development Planning,DSAB,Supplies & Services,Subscriptions,Property Week,12/09/2014,199.01
"Development, Business & Employment",Business & Development Planning,EWAJ,Supplies & Services,Consultants Fees,MERIDIAN COST BENEFIT LTD,02/09/2014,136.06
"Development, Business & Employment",Business & Development Planning,EWAJ,Supplies & Services,Research Surveys,Peter Brett Associates LLP,01/09/2014,8085
"Development, Business & Employment",Business & Development Planning,EWAJ,Supplies & Services,Research Surveys,Peter Brett Associates LLP,01/09/2014,306.6
"Development, Business & Employment",Business & Development Planning,EWAJ,Supplies & Services,Research Surveys,Peter Brett Associates LLP,03/09/2014,6774.6
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,AIDS & ADAPTIONS LTD,15/09/2014,7404.58
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,02/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,02/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,02/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,02/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,125
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,24/09/2014,125
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,DMW ENVIRONMENTAL SAFETY LTD,08/09/2014,150
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,E DAVIES & SON,29/09/2014,5371.3
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,Redacted Personal Information ,02/09/2014,10240
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,MARTIN EVANS CONSTRUCTION LTD,02/09/2014,2951.32
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,MARTIN EVANS CONSTRUCTION LTD,02/09/2014,1378.77
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,MARTIN EVANS CONSTRUCTION LTD,15/09/2014,3119.36
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,MASTERDECK LIMITED,08/09/2014,2927.55
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,"Repayments of grants, loans & financial assistance",Redacted Personal Information ,24/09/2014,736
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,Premier Service & Installation,02/09/2014,3100
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,15/09/2014,4528
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,08/09/2014,3725.66
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,ROSEMONT BUILDING CONTRACTORS,08/09/2014,4622.5
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,STANNAH LIFT SERVICES LTD,02/09/2014,1568
"Development, Business & Employment",Business & Development Planning,WDAF,Capital Expenditure,Expenditure on loans & other financial assistance,STANNAH LIFT SERVICES LTD,02/09/2014,773
